DATE,MORTGAGE30US
2019-01-01,4.4640000000000000
2019-02-01,4.3700000000000000
2019-03-01,4.2650000000000000
2019-04-01,4.1425000000000000
2019-05-01,4.0720000000000000
2019-06-01,3.8025000000000000
2019-07-01,3.7650000000000000
2019-08-01,3.6160000000000000
2019-09-01,3.6050000000000000
2019-10-01,3.6880000000000000
2019-11-01,3.6950000000000000
2019-12-01,3.7200000000000000
2020-01-01,3.6240000000000000
2020-02-01,3.4650000000000000
2020-03-01,3.4500000000000000
2020-04-01,3.3060000000000000
2020-05-01,3.2325000000000000
2020-06-01,3.1625000000000000
2020-07-01,3.0160000000000000
2020-08-01,2.9350000000000000
2020-09-01,2.8900000000000000
2020-10-01,2.8340000000000000
2020-11-01,2.7650000000000000
2020-12-01,2.6840000000000000
2021-01-01,2.7350000000000000
2021-02-01,2.8100000000000000
2021-03-01,3.0825000000000000
2021-04-01,3.0600000000000000
2021-05-01,2.9625000000000000
2021-06-01,2.9750000000000000
2021-07-01,2.8680000000000000
2021-08-01,2.8425000000000000
2021-09-01,2.9000000000000000
2021-10-01,3.0675000000000000
2021-11-01,3.0675000000000000
2021-12-01,3.0980000000000000
2022-01-01,3.4450000000000000
2022-02-01,3.7625000000000000
2022-03-01,4.1720000000000000
2022-04-01,4.9825000000000000
2022-05-01,5.2300000000000000
2022-06-01,5.5220000000000000
2022-07-01,5.4125000000000000
2022-08-01,5.2225000000000000
2022-09-01,6.1120000000000000
2022-10-01,6.9000000000000000
2022-11-01,6.8050000000000000
2022-12-01,6.3640000000000000
2023-01-01,6.2725000000000000
2023-02-01,6.2575000000000000
2023-03-01,6.5440000000000000
2023-04-01,6.3425000000000000
2023-05-01,6.4250000000000000
2023-06-01,6.7140000000000000
2023-07-01,6.8400000000000000
2023-08-01,7.0720000000000000
2023-09-01,7.2000000000000000
2023-10-01,7.6200000000000000
2023-11-01,7.4420000000000000
2023-12-01,6.8150000000000000
2024-01-01,6.6425000000000000
2024-02-01,6.7760000000000000
2024-03-01,6.8200000000000000
2024-04-01,6.9925000000000000
2024-05-01,7.0600000000000000
2024-06-01,.
